,duration,lon,trip_id,lat
593,7012,-73.98871,9,40.74851
594,7036,-73.98775,9,40.74978
595,7060,-73.98726,9,40.7505
596,7084,-73.98719,9,40.75062
597,7108,-73.98595,9,40.75232
598,7132,-73.98502,9,40.75356
599,7156,-73.98449,9,40.7543
600,7180,-73.98411,9,40.75484
601,7204,-73.98374,9,40.75469
602,7228,-73.98259,9,40.7542
603,7252,-73.98088,9,40.75348
604,7276,-73.97817,9,40.75235
605,7300,-73.97791,9,40.75224
606,7324,-73.97779,9,40.75218
607,7348,-73.97821,9,40.7516
608,7372,-73.97827,9,40.75151
609,7396,-73.97819,9,40.75148
610,7420,-73.97817,9,40.75147
611,7444,-73.97803,9,40.75141
612,7468,-73.9777,9,40.75187
613,7493,-73.9777,10,40.75187
614,7518,-73.97754,10,40.75208
615,7543,-73.97779,10,40.75218
616,7568,-73.97837,10,40.75243
617,7593,-73.98268,10,40.75424
618,7618,-73.98644,10,40.75582
619,7643,-73.98723,10,40.75332
620,7668,-73.98735,10,40.75291
621,7693,-73.98761,10,40.75187
622,7718,-73.98771,10,40.75145
623,7743,-73.98783,10,40.7507
624,7768,-73.98789,10,40.75036
625,7793,-73.98804,10,40.74968
626,7818,-73.98814,10,40.74948
627,7843,-73.9883,10,40.74924
628,7868,-73.9882,10,40.74919
629,7893,-73.98801,10,40.7491
630,7918,-73.98803,10,40.749
631,7943,-73.98826,10,40.74911
632,7968,-73.9909,10,40.75024
633,8013,-73.9909,11,40.75024
634,8058,-73.99213,11,40.75074
635,8103,-73.99395,11,40.75151
636,8148,-73.99208,11,40.75409
637,8193,-73.99028,11,40.75657
638,8238,-73.98999,11,40.75645
639,8257,-73.98999,12,40.75645
640,8276,-73.99028,12,40.75657
641,8295,-73.98979,12,40.75723
642,8314,-73.98914,12,40.75813
643,8333,-73.98746,12,40.76041
644,8352,-73.98565,12,40.76292
645,8371,-73.98474,12,40.76417
646,8390,-73.98399,12,40.7652
647,8409,-73.98265,12,40.76706
648,8428,-73.98233,12,40.76748
649,8447,-73.98222,12,40.76764
650,8466,-73.98217,12,40.76768
651,8485,-73.98205,12,40.7677
652,8504,-73.98185,12,40.76769
653,8523,-73.9817,12,40.76771
654,8542,-73.98156,12,40.76781
655,8561,-73.98145,12,40.76794
656,8580,-73.98137,12,40.76803
657,8599,-73.98137,12,40.76816
